# Date:             21-56-38 2022-08-29
# MX Version:       1.5.1-d066dirty-windows_10.0_x64 hash: f214dedd Sat May 7 20:31:35 2022
# Computation type: Optimal control solution
# Model name:       Rocciatore
#
# converged            = NO
# num_equations        = 30627
# Lagrange target      = 0.0010444398659758334
# Mayer target         = 1.7060832681558873
# Penalties            = 0
# Control Penalties    = 0.2785906923483591
# max_iter             = 100
# max_step_iter        = 40
# max_accumulated_iter = 1800
# tolerance            = 0.001
# iterations           = 101
# cpu_time             = 3.2344265 s
# solver_type          = CyclicReduction+QRP and LastBlock LUPQ
# lapack version       = Openblas
#
# SOLUTION
i_segment	zeta	lagrange_target	inequality_penalties	penalties	control_penalties	Fr	Fr_cell	theta	phi	psi	l	omega	r	T	Fut	Fun	lambda1__xo	lambda2__xo	lambda3__xo	lambda4__xo	lambda5__xo	lambda6__xo	lambda7__xo	lambda8__xo	lambda9__xo	theta_D	phi_D	psi_D	l_D	omega_D	r_D	T_D	Fut_D	Fun_D	mu0_D	mu1_D	mu2_D	mu3_D	mu4_D	mu5_D	mu6_D	mu7_D	mu8_D	FrControl	T_positive	X_positive	Actuation	FrictionPositive	FrictionNegative	Z_negative	Fun_positive
0	0	5.24159253231177546e-08	-0.828909405828174517	0	0.318515700262123003	-7.63150817503895426e-05	-7.63150817503895426e-05	0.0500000000000000028	0	0	3	0	0	1.70459210492212265	0.0203573285567888139	0.312810028334468249	13167.9067589918468	-1194.00197535536495	102.858695856172289	0	0	-8717.72565947425574	-35.595946372718295	-981.848026513248669	0	0	0	0.024616545633668923	0	-0.259679726942342204	16.701124325719519	0	0	0	-49370.1095161188059	-0	-175.33212087901714	754.31345648914521	-22445.9098997281581	2035.28634045217404	8292.32140015903497	43.0434295842534738	526.864036477466698	0.318515700262123003	-0.413849603345261663	-0.170763349970780909	4.44499350178317327e-06	1.00000091628877515e-07	9.99998750995233855e-08	0	-0.244301097505600417
0	0.000588235294117647007	5.34082540070818828e-08	-0.829607072571998616	0	0.318500117163831031	-7.63616783988428486e-05	-7.64082750472961546e-05	0.0502890253507021837	0.000892532707264840903	1.61559163660712508e-05	3.00365633561784851	6.01157163559156684e-06	0.000177988758540033863	1.70459210492271107	0.0203573285561248103	0.312810028334568391	13138.8574928871676	-1193.56063282432706	102.858695856172957	0.0280744991940901044	0.343806697506563952	-8730.91595167486958	-35.6990886397954341	-980.650959353019744	4.87814683450269193	1.02472775482066942e-05	2.75392474853966697e-05	0.0301358280555647437	0.000303398232572336468	-0.256575290690771174	16.7008820583402411	0	0	0	-49391.2667249089718	-0	-175.329316707231669	745.445292854987656	-22398.1352646360938	2034.47379513332999	8294.59384977579793	52.8469118817123586	649.699364179074109	0.318500117163831031	-0.413849603345296135	-0.171461016999957666	4.4452789286382743e-06	1.00000112958449588e-07	9.99998460249927454e-08	0	-0.244301097505632447
0	0.00117647058823529401	5.60769344831879449e-08	-0.830301225296965706	0	0.318468947735605579	-7.64549667396076881e-05	-7.65016584319192351e-05	0.0505780577655334657	0.00178508354527637898	3.588319720818859e-05	3.00731285096771739	1.39837926592114918e-05	0.000355917409028456261	1.70459210492253699	0.0203573285560594598	0.31281002833456073	13109.7956414289874	-1193.12522855039128	102.858695856171551	0.0624578594953250493	0.76684926423286548	-8744.07812777071013	-35.802228937732913	-979.454372947428283	9.75890628941573368	2.38366625637656388e-05	6.11662146604566905e-05	0.0367104592427217671	0.00060669400543439183	-0.252598940247209025	16.7006383745845781	0	0	0	-49412.9392589212221	-0	-175.325352342978107	734.020922428743347	-22350.328304481638	2033.65175539815732	8301.39232169441675	64.5624002595190944	797.187719589960921	0.318468947735605579	-0.413849603345285921	-0.172155170146195913	4.44570019645020386e-06	1.0000013856104157e-07	9.99998111259091561e-08	0	-0.244301097505630005
0	0.00176470588235294124	6.03824407584018141e-08	-0.830991905953971433	0	0.318437752912167082	-7.65484451970592711e-05	-7.65952319621993207e-05	0.0508670994197333859	0.0026776564620131795	5.98524249652233054e-05	3.01096954598998989	2.42967878301455314e-05	0.000533786139772914666	1.70459210492195279	0.0203573285563800853	0.312810028334525647	13080.7208715072338	-1192.69738175200177	102.858695856167529	0.104359578559923394	1.28476564457223041	-8757.2121679062584	-35.905366509463299	-978.25827318686072	14.6451478689257559	4.14161127102298597e-05	0.000102023971056153234	0.044498664397917477	0.000909887639573676312	-0.247613020572855641	16.7003932889625837	0	0	0	-49435.2333756458247	-0	-175.319948485363483	719.635979329958445	-22302.4861586683328	2032.81916833983678	8313.44273952003459	78.4850352665529982	973.291736623629276	0.318437752912167082	-0.413849603345251671	-0.172845851418513746	4.44631547411755135e-06	1.00000169121810246e-07	9.99997694683532805e-08	0	-0.244301097505618792
0	0.00235294117647058803	6.63643706123731928e-08	-0.831679156544294917	0	0.318406532817395782	-7.66421138102171124e-05	-7.66889956582349176e-05	0.0511561529014347149	0.00357025613208924704	8.8831990520966332e-05	3.01462642062347186	3.73894456732260975e-05	0.000711595138429338176	1.70459210492230628	0.0203573285564840126	0.312810028334535972	13051.6327849656082	-1192.27896156123529	102.858695856160452	0.155171125094819479	1.91564641679623615	-8770.31805040089785	-36.0085004200698293	-977.06266662874566	19.5401901448612954	6.37337539020026964e-05	0.00015142230970657236	0.053672817444100164	0.00121297945486774556	-0.241465945847643304	16.700146800088131	0	0	0	-49458.2641528096792	-0	-175.312775005702832	701.844996898109116	-22254.6054841466976	2031.97481627591878	8331.54645269773391	94.9382037817467506	1182.38730239619258	0.318406532817395782	-0.413849603345272432	-0.173533102898070279	4.44720474454896609e-06	1.00000205397032134e-07	9.99997200214721253e-08	0	-0.244301097505622095
0	0.00294117647058823525	7.4084531832603831e-08	-0.832363019227893797	0	0.318375287599303336	-7.67359725605193724e-05	-7.67829494628038408e-05	0.0514452212741430479	0.00446288805973918228	0.000123696254486412537	3.01828347480816683	5.37650403710001603e-05	0.000889344591362464885	1.70459210492158797	0.0203573285566896259	0.31281002833476762	13022.5309135845	-1191.87211105047868	102.858695856148302	0.216482331531992228	2.68027722504164778	-8783.39575145078925	-36.1116295251296151	-975.86756059901893	24.4478449723678644	9.16474633371973163e-05	0.000210851658805910369	0.0644186832838582468	0.00151596976899117351	-0.233992480899945537	16.6998989065806711	0	0	0	-49482.1548461742859	-0	-175.303444295923015	680.162193706711832	-22206.6824071683623	2031.11730089737966	8356.57923109138574	114.272558253101138	1429.25845344549384	0.318375287599303336	-0.413849603345230355	-0.174216966853514954	4.44847663780423884e-06	1.00000248213146056e-07	9.9999661658787402e-08	0	-0.244301097505696174
0	0.00352941176470588248	8.36364462545623571e-08	-0.833043536439191046	0	0.318344017424718295	-7.68300213549617523e-05	-7.68770932471196774e-05	0.0517343081457344589	0.00535555869233082359	0.000165433110593417738	3.02194070848540086	7.39966551045843636e-05	0.00106703468364979836	1.70459210492207625	0.0203573285569083849	0.312810028334902068	12993.414714542223	-1191.47927043732284	102.858695856128151	0.290096940092459177	3.60237474343145969	-8796.44524480294967	-36.21475243507291	-974.672963302754852	29.3724604710553514	0.000126134114081916354	0.000281995974210240581	0.0769341370669627822	0.00181885889742747155	-0.225014457035658505	16.6996496072804383	0	0	0	-49507.0358932483796	-0	-175.291504333973819	654.063534098399714	-22158.7124763743086	2030.24502796507841	8389.48798469530266	136.864084096700566	1719.07996786133117	0.318344017424718295	-0.413849603345258943	-0.174897485864965424	4.45027688081134784e-06	1.00000298463665271e-07	9.9999593162408537e-08	0	-0.244301097505739112
0	0.0041176470588235297	9.51581479458235395e-08	-0.833720750999977556	0	0.318312722493169886	-7.69242600135168454e-05	-7.69714267799140268e-05	0.0520234177394961333	0.00624827553384723483	0.000215150617773984066	3.02559812159667096	9.87322165181585076e-05	0.0012446655994214574	1.70459210492144897	0.0203573285567212464	0.312810028334087498	12964.2835665747662	-1191.10319865757833	102.858695856099473	0.378046701491634218	4.70880832230152269	-8809.46650140218662	-36.3178674754390158	-973.478883943477854	34.3189613272234268	0.000168298156778248065	0.000366744044426505617	0.0914272942166275276	0.00212164715404113916	-0.214341991056931497	16.6993989013705573	0	0	0	-49533.0435220649379	-0	-175.276431596211495	622.990266715780763	-22110.6906183709652	2029.35619305008231	8431.28483975925883	163.111078882723376	2057.38558900016369	0.318312722493169886	-0.413849603345222139	-0.17557470294771807	4.45279857100987467e-06	1.00000357103605093e-07	9.9999513230633442e-08	0	-0.244301097505478737
0	0.00470588235294117606	1.08849145957020858e-07	-0.834394706250611518	0	0.318281403034475885	-7.70186882637614406e-05	-7.70659497476088544e-05	0.0523125549769142273	0.00714104727251107553	0.000274082338906074356	3.0292557140806089	0.000128698921098181513	0.00142223752070157585	1.70459210492141788	0.0203573285570344542	0.312810028334162105	12935.1367670761647	-1190.74699237998584	102.858695856057977	0.482603348618507011	6.02979827802021973	-8822.45948901355041	-36.4209726429682519	-972.285332850345867	39.2928847553491281	0.000219379164815864693	0.000467198590997690722	0.108113993775957512	0.00242433484911091764	-0.201775271549207297	16.6991467887502338	0	0	0	-49560.3179330206185	-0	-175.25762396901041	586.354130975643784	-22062.6110980233389	2028.44876898256439	8483.03821438680825	193.429920065317162	2450.01993003154348	0.318281403034475885	-0.413849603345220307	-0.176248661694196035	4.4562944618362944e-06	1.0000042514109163e-07	9.9999420489392485e-08	0	-0.244301097505502579
0	0.00529411764705882328	1.24992555323048824e-07	-0.835065446157152613	0	0.318250059306347977	-7.71133057298862911e-05	-7.71606617121637278e-05	0.0526017255532032213	0.00803388390866957743	0.000343590985551889402	3.03291348587839371	0.000164706811169791092	0.0015997506289148354	1.70459210492108837	0.0203573285569759593	0.312810028334239154	12905.9735303984453	-1190.41410143098415	102.85869585600048	0.606287700655638639	7.59908069721629786	-8835.42417182308236	-36.5240655575970479	-971.092321612023625	44.3004102579152672	0.000280757929946754445	0.000585682481293806371	0.12721459071856997	0.00272692229189077425	-0.187106967776097782	16.6988932703756632	0	0	0	-49589.0010288930862	-0	-175.234393855755059	543.544396059022802	-22014.4674850667616	2027.52049565019297	8545.8605787699089	228.249519261402298	2903.07233069513768	0.318250059306347977	-0.413849603345201045	-0.176919406397664458	4.46109142300108448e-06	1.0000050362585624e-07	9.99993135079380288e-08	0	-0.244301097505527198
